answer_id,user_id,question_id,user_answer,is_correct,answered_at
799b6df8-df04-457d-8cc6-ba49b1e7ef8a,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,a25edbdc-0b14-40f1-9559-aee4b82a18e2,D,FALSE,2025-07-14T20:28:13.850116
63c26b2a-c305-4cd3-9653-e0d3aee395fe,aca53442-855b-41dc-a52c-b61991faccb1,7a91c23e-5088-409c-afd2-8815ade0b9b9,B,TRUE,2025-07-15T00:37:45.500828
42be38d7-8c3c-416f-9ddf-46119905a790,a384a524-19de-4a4f-8b9c-4c168db41bff,4067aa76-e17f-457a-ae61-fb70f267f35a,D,FALSE,2025-07-15T00:39:13.447601
1ab044d0-c130-474d-a95e-57cc253000f1,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,a16020c8-268b-4fb4-b25c-ea146d34fd5e,D,TRUE,2025-07-15T01:25:53.867377
84cca356-6d0e-4ff2-8c30-217bddb1df28,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,bbae5a86-506b-48de-8363-692800c74866,B,FALSE,2025-07-18T18:59:15.933523
5296e100-bd88-4dae-8a51-cc7953bad6b7,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,3be00fa4-9a33-47f3-b256-1791a54f9acf,A,FALSE,2025-07-15T01:26:57.422071
a210ad09-fc74-4f59-add8-8ed78bfffc69,a384a524-19de-4a4f-8b9c-4c168db41bff,4968b281-9ef4-4e58-b4a7-6c1f3ca6f79e,D,FALSE,2025-07-15T02:06:53.574378
24072272-d446-4ce1-9c9d-2d918a7ea452,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,4067aa76-e17f-457a-ae61-fb70f267f35a,D,FALSE,2025-07-18T18:59:22.932676
9c02faf5-6cf2-492d-919f-4a9c401210f2,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,d328ad38-5e77-46c1-a018-914a33842801,B,FALSE,2025-07-18T19:09:33.059631
c8313ab5-c919-4ce9-9a15-f8b6da12ff2c,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,e743e9c0-37d4-4884-b0bc-d2e69e5895f2,C,FALSE,2025-07-18T19:09:45.397446
975322e0-894e-4d3c-b64f-674dc60bb88d,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,67a3a6e7-9752-4aa9-a84f-3e3f621534db,B,TRUE,2025-07-18T22:43:51.974739
4153de85-b7b9-4c8e-bc27-845ec0942942,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,2773daf7-2f53-432e-a9fc-b992d164b464,C,TRUE,2025-07-18T22:44:02.218666
88d42136-aca7-4c0f-b233-184a44b7b5af,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,17e7c073-ed34-44c3-97c7-99e33cfad7e1,E,TRUE,2025-07-18T22:44:09.500465
0b2248e4-3b9f-480d-a7ad-4a76dd62d929,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,faced313-cf74-4abb-badb-2b6e04301303,D,TRUE,2025-07-18T22:44:22.350990
35412fe6-93a3-4a50-ac9b-5edcb3a223e2,c9ff7b72-1171-4a9f-a5f0-b0ad5eb0b710,e25f5b91-1fb4-4a08-93a0-c7ddb7e4e350,D,TRUE,2025-07-18T22:44:27.328397